n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1808,1.04941e+06,103394,989300,1.0153e+06,1.0269e+06,1.04232e+06,1.7431e+06
1818,1.06199e+06,73427.4,996000,1.0431e+06,1.0567e+06,1.0699e+06,2.1652e+06
1828,1.10763e+06,127616,1.0326e+06,1.06798e+06,1.08155e+06,1.0985e+06,2.2001e+06
1838,1.07979e+06,47310.3,1.0195e+06,1.0617e+06,1.0741e+06,1.0881e+06,1.6056e+06
1848,1.12639e+06,101705,1.0698e+06,1.0951e+06,1.1075e+06,1.1216e+06,1.9445e+06
1858,1.06136e+06,39651.8,1.0179e+06,1.04528e+06,1.0574e+06,1.0705e+06,1.5997e+06
1868,1.16717e+06,113108,1.0649e+06,1.12765e+06,1.14145e+06,1.15875e+06,1.8528e+06
1878,1.13426e+06,56981.8,1.078e+06,1.10938e+06,1.1263e+06,1.14398e+06,1.719e+06
1888,1.15977e+06,107334,1.0968e+06,1.1266e+06,1.13975e+06,1.1524e+06,1.9525e+06
1898,1.12873e+06,112031,1.0637e+06,1.09215e+06,1.1059e+06,1.12605e+06,2.1448e+06
1908,1.14788e+06,62449.1,1.0911e+06,1.12478e+06,1.1353e+06,1.15418e+06,1.6765e+06
1918,1.16072e+06,169815,1.0746e+06,1.11328e+06,1.12805e+06,1.1486e+06,3.0809e+06
1928,1.1519e+06,39637,1.0929e+06,1.13605e+06,1.1476e+06,1.16178e+06,1.6923e+06
1938,1.17458e+06,96145,1.1054e+06,1.14382e+06,1.1563e+06,1.1696e+06,1.874e+06
1948,1.16568e+06,58783.1,1.0945e+06,1.1443e+06,1.1588e+06,1.17122e+06,1.7045e+06
1958,1.16499e+06,115395,1.0986e+06,1.12858e+06,1.14175e+06,1.15912e+06,2.3775e+06
1968,1.21628e+06,111161,1.1483e+06,1.17748e+06,1.18965e+06,1.20825e+06,1.9731e+06
1978,1.2014e+06,42119.5,1.1436e+06,1.1823e+06,1.19745e+06,1.21165e+06,1.6077e+06
1988,1.19881e+06,117068,1.1273e+06,1.161e+06,1.17465e+06,1.18868e+06,2.1945e+06
1998,1.17378e+06,33150.3,1.1181e+06,1.1553e+06,1.17025e+06,1.18422e+06,1.4232e+06
2008,1.26839e+06,102232,1.1933e+06,1.23548e+06,1.2513e+06,1.26592e+06,2.0058e+06
2018,1.24246e+06,141773,1.164e+06,1.20588e+06,1.2182e+06,1.23088e+06,2.7407e+06
2028,1.25157e+06,33311,1.203e+06,1.23458e+06,1.2469e+06,1.26292e+06,1.6365e+06
2038,1.24436e+06,143758,1.1684e+06,1.20338e+06,1.2147e+06,1.22752e+06,2.487e+06
2048,1.25392e+06,61124.1,1.1895e+06,1.23608e+06,1.246e+06,1.26022e+06,1.8448e+06
